"frequency","capture_date","species","animal_id","region","type","model","status","location"
"159.440",,"bighorn",,"Central","VHF","VIT","on order","Wheeler/Convict"
"159.440",,"Pronghorn",,"Bodie Hills","GPS","Tellus","AW","Bodie Hills"
"159.440","","deer","GDL088","GD","VHF/GPS","Various","AW","GD"
"159.445",,"bighorn",,"Langley","GPS","Vectronics Vertex","on order","Langley"
"159.445",,"bobcat",,"Central","GPS","Iridium Vectronics","OW","RV-Big Pine"
"159.445","","deer","CDB015","CD","VHF/GPS","Various","AW","CD"
"159.445","3/19/2014 ","bighorn","S283","Kern","GPS","Lotek Lifecycle","AW","Big Arroyo"
"159.446","10/19/2014","bighorn","S317","Southern","","Televilt Tellus Iridium1D","AWX","Bubbs Creek"
"159.448",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.449","","deer","CDB069","CD","VHF/GPS","Various","AW","CD"
"159.450",,"bighorn",,"Central","VHF","Vectronics Proximity","on order","Wheeler/Convict"
"159.450",,"bighorn",,"Central","VHF","VIT","on order","Wheeler/Convict"
"159.451",,"bobcat",,"South","GPS","Iridium Vectronics","OW","Big Pine-Olancha"
"159.454","","deer","CDB006","CD","VHF/GPS","Various","AW","CD"
"159.457","","deer","GDL044","GD","VHF/GPS","Various","AW","GD"
"159.460","","deer","RVD833","RV","VHF/GPS","Various","AW","RV"
"159.461",,"deer",,"Far North","GPS",,"on order","Mono-Walker"
"159.462","3/24/2016 ","bighorn","S70","Southern","GPS","Vectronics Survey","AW","Mt. Langley"
"159.465",,"bobcat",,"Central","GPS","Iridium Vectronics","OW","RV-Big Pine"
"159.465",,"deer",,"GD","GPS",,"on order","GD"
"159.466",,"bighorn",,"Warren","GPS","Vectronics Survey","on order","Warren"
"159.468",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.471","","deer","GDL073","GD","VHF/GPS","Various","AW","GD"
"159.471","10/23/2015","bighorn","S398","Central","VHF","ATS M2230B","AW","Convict Creek"
"159.474","","deer","CDB066","CD","VHF/GPS","Various","AW","CD"
"159.476","","deer","GDL077","GD","VHF/GPS","Various","AW","GD"
"159.478",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.480","","deer","CDB009","CD","VHF/GPS","Various","AW","CD"
"159.481",,"bobcat trap",,"South and Central","VHF","trap","OW","RV-Big Pine"
"159.481","","bighorn","","office","GPS Globalstar Sat","Vectronics","OW","office"
"159.485","","deer","CDB031","CD","VHF/GPS","Various","AW","CD"
"159.488",,"Elk",,"office","VHF",,"OW","office - N"
"159.488",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.488","10/24/2015","bighorn","S406","Southern","GPS","Vectronics Survey","AW","Mt. Langley"
"159.489","3/25/2013 ","bighorn","S259","Southern","VHF","ATS M2230B","AW","Olancha Peak"
"159.490","","bighorn","","office","VHF","ATS","OW","office"
"159.491","2/19/2015 ","bighorn","S347","Central","VHF","ATS M2230B","AW","Wheeler Ridge"
"159.495","10/27/2014","bighorn","S160","Northern","","Televilt Tellus Iridium1D","AWX","Mt. Gibbs"
"159.500",,"deer",,"CD","GPS",,"on order","CD"
"159.500","","deer","GDL090","GD","VHF/GPS","Various","AW","GD"
"159.501","10/27/2012","bighorn","S234","Central","VHF","ATS M2220B","AW","Wheeler Ridge"
"159.505",,"deer",,"CD","GPS",,"on order","CD"
"159.505","","deer","GDL028","GD","VHF","ATS","NR","GD"
"159.508",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.508","3/27/2015 ","bighorn","S382","Kern","GPS","Vectronics Survey","AW","Laurel Creek"
"159.510","","deer","CDB026","CD","VHF/GPS","Various","AW","CD"
"159.510","10/18/2014","bighorn","S223","Southern","","Televilt Tellus Iridium1D","AWX","Mt. Baxter"
"159.515",,"bighorn",,"Gibbs-Flex","VHF","VIT","on order","Gibbs-Flex"
"159.519",,"Sage grouse",,"Mount Grant",,,"AW","Mount Grant"
"159.520","","deer","CDB016","CD","VHF/GPS","Various","AW","CD"
"159.521","","deer","GDL053","GD","VHF/GPS","Various","AW","GD"
"159.525",,"Bear",,"North","GPS","Iridium Vectronics","OW","North"
"159.525","","deer","GDL010","GD","VHF/GPS","Various","AW","GD"
